Experiment,F1,Energy,MMD,BKS,MMDAgg
CULane Train to CULane Train,0.871,0.05,0.03,0.25,0.03
CULane Train to CULane Test,0.815,0.12,0.08,0.36,0.08
CULanes Train to Curvelanes Val,0.671,0.28,0.17,0.54,0.17
CULanes Train to AssistTaxi Test,0,0.98,0.64,0.98,0.64
Curvelanes Train to Curvelanes Train,0.869,0,0,0.07,0
Curvelanes Train to Curvelanes Val,0.863,0,0,0.08,0
Curvelanes Train to CULane Test,0.667,0.11,0.06,0.35,0.06
Curvelanes Train to AssistTaxi Test,0.002,0.94,0.58,0.96,0.58
AssistTaxi Train to AssistTaxi Train,0.945,0.02,0.02,0.24,0.02
AssistTaxi Train to AssistTaxi Test,0.939,0.02,0.02,0.24,0.02
AssistTaxi Train to Curvelanes Val,0.001,0.96,0.6,0.96,0.6
AssistTaxi Train to CULane Test,0,0.98,0.62,0.96,0.62
